id,x,y
36667,275,4556
28833,270,1728
35915,275,3314
14312,258,4377
37346,276,2577
1872,248,4502
16270,260,4439
29823,271,1361
2574,249,2004
12215,256,3931
23183,265,4139
33206,273,4132
19279,263,2523
44069,285,2681
22497,265,2587
35456,275,2011
37900,276,3515
28132,269,3515
1568,248,3418
23744,266,1841
33128,273,3943
11013,255,3629
9735,254,3261
2389,249,1583
37213,276,1958
776,248,843
44576,287,3502
31625,272,3453
15329,259,4464
30731,271,4409
32200,273,1152
44482,287,2617
23564,266,1378
44880,289,802
27205,268,4281
45276,291,345
28066,269,3273
37853,276,3468
13510,258,354
18074,262,2685
11774,256,2057
38529,277,802
5268,251,1190
24618,266,4123
36891,276,1253
17114,261,3235
20752,264,2023
15144,259,3876
8905,253,4142
45379,291,2650
