id,x,y
38770,277,1495
18962,263,1679
36279,275,3789
18996,263,1819
25823,267,3681
13477,258,321
4029,250,1969
5445,251,1578
28182,269,3676
28024,269,3130
9768,254,3294
13008,257,3109
29729,271,825
43029,281,2657
9151,254,1138
31075,272,1494
32843,273,3270
29758,271,1145
21509,264,4052
29892,271,1526
38483,277,325
23433,266,344
17566,262,355
29097,270,2917
36370,275,3976
9184,254,1171
39478,277,3420
23115,265,4071
16964,261,2727
18870,263,1526
6604,252,799
29725,271,821
33204,273,4130
44470,287,2605
2009,249,866
2405,249,1599
18623,262,4509
29690,271,355
31411,272,2730
27613,269,1512
36015,275,3414
32552,273,2059
44396,287,349
10151,254,4468
34303,274,3335
1157,248,1611
11559,256,1378
9998,254,4093
11249,255,4348
24042,266,2550
