id,x,y
26121,267,4271
27357,268,4536
45678,293,2637
44609,288,326
6498,251,4476
6734,252,1291
5051,251,882
43996,285,2608
32922,273,3460
35905,275,3304
30974,272,1171
37968,276,3700
8041,253,1336
31330,272,2558
1781,248,4064
536,247,3398
41859,279,1991
10084,254,4320
3358,250,319
39150,277,2890
23961,266,2058
45186,290,2658
43059,281,2687
34940,275,816
5618,251,1962
16083,260,3638
13384,257,4462
39199,277,2955
33362,273,4546
34063,274,2883
20645,264,1916
29262,270,3505
11083,255,3910
16360,260,4540
12499,257,354
2959,249,3444
92,247,891
9188,254,1175
16263,260,4381
41540,279,337
32287,273,1350
16015,260,3273
40558,278,2017
23751,266,1848
21847,265,330
30647,271,4254
22291,265,1970
5339,251,1261
43991,285,2603
35347,275,1902
