id,x,y
1563,248,3413
16265,260,4383
11549,256,1368
16811,261,2574
4900,250,4514
4823,250,4336
921,248,988
1576,248,3426
36567,275,4274
16736,261,2499
14358,258,4484
6684,252,1190
13414,257,4492
4614,250,3941
31873,272,4114
43907,285,342
41614,279,1213
21538,264,4081
5040,251,871
16651,261,1662
21878,265,792
17572,262,792
5531,251,1875
29956,271,1721
9544,254,2486
1416,248,2899
44635,288,352
20571,264,1842
24766,266,4424
17740,262,1553
5610,251,1954
19136,263,1959
45635,293,803
20560,264,1831
14657,259,1579
34027,274,2701
33565,274,1207
44585,287,3511
23995,266,2092
16770,261,2533
44092,285,3490
15428,260,325
43779,284,2642
9452,254,2023
35048,275,1240
40133,278,347
10553,255,1831
861,248,928
2174,249,1031
2615,249,2045
