id,x,y
28551,270,346
17513,261,4546
12672,257,1576
43962,285,828
44382,287,335
20027,263,4127
22662,265,2752
28374,269,4377
25254,267,1885
11100,255,3927
2400,249,1594
3117,249,3975
27647,269,1546
15702,260,1664
6561,252,325
12585,257,1157
2923,249,3408
3108,249,3966
11110,255,3937
40347,278,1479
8070,253,1365
45062,290,337
2296,249,1254
35676,275,2919
34618,274,4059
34183,274,3074
15178,259,3910
1115,248,1308
42828,280,3477
7858,253,330
34131,274,2951
9940,254,3914
7712,252,4312
3830,250,1318
6840,252,1593
20814,264,2085
988,248,1055
41960,279,2674
36450,275,4056
15548,260,1152
2359,249,1317
40142,278,356
12717,257,1632
42908,281,348
14393,258,4520
32649,273,2703
31565,272,3262
1791,248,4074
18177,262,2884
39820,277,3985
