id,x,y
28220,269,3900
39471,277,3413
26907,268,3122
39996,277,4388
14094,258,3490
20290,264,796
41289,278,4012
5062,251,893
27657,269,1556
45050,290,325
11203,255,4302
2831,249,3316
22246,265,1925
32527,273,2034
24590,266,4095
34564,274,3934
4457,250,3422
34932,275,808
8280,253,2028
41581,279,809
41972,279,2686
16856,261,2619
4072,250,2012
7252,252,3116
38305,276,4234
2525,249,1955
37185,276,1930
17964,262,2575
695,248,321
35832,275,3075
15820,260,2534
6854,252,1607
21955,265,1140
27078,268,3686
31096,272,1515
20396,264,1384
31002,272,1330
15798,260,2512
35673,275,2916
32988,273,3637
44189,286,809
18308,262,3468
12530,257,816
34264,274,3296
22038,265,1535
5400,251,1322
40596,278,2576
38406,276,4436
39341,277,3097
45700,293,3490
