id,x,y
25297,267,1928
19803,263,3903
31339,272,2567
38821,277,1727
38619,277,1228
17078,261,3108
3493,250,885
29844,271,1382
4682,250,4009
13310,257,4327
25566,267,2744
38336,276,4265
9422,254,1872
2092,249,949
40093,277,4596
40852,278,3085
23428,266,339
4749,250,4076
24284,266,3492
27273,268,4400
2478,249,1908
23741,266,1838
18382,262,3653
30117,271,2560
25283,267,1914
17170,261,3482
31500,272,2955
28016,269,3122
37318,276,2549
3680,250,1168
12754,257,1669
31835,272,3945
13307,257,4324
28943,270,2090
26524,268,1527
42169,279,3366
24756,266,4403
7954,253,1158
16168,260,3919
38513,277,355
13932,258,2875
19541,263,2886
40988,278,3432
44498,287,2633
32688,273,2883
25768,267,3515
10256,255,349
701,248,327
43308,282,2686
23422,266,333
