id,x,y
764,248,831
24875,267,315
10829,255,2911
15502,260,830
9086,254,346
7212,252,2905
23073,265,4029
1947,249,804
6661,252,1167
44726,288,2630
30782,271,4531
318,247,1279
6824,252,1577
19760,263,3669
8704,253,3629
1203,248,1918
9105,254,796
33033,273,3682
7686,252,4125
39273,277,3029
18228,262,3106
9330,254,1609
35179,275,1371
36851,276,1213
42719,280,2571
36986,276,1348
27682,269,1692
23114,265,4070
1623,248,3499
10768,255,2779
30237,271,2912
22955,265,3911
9368,254,1647
37614,276,3063
41183,278,3790
32683,273,2878
9043,253,4522
31809,272,3919
39707,277,3776
14262,258,4326
16701,261,1828
23719,266,1816
30216,271,2891
34595,274,3965
3869,250,1583
9393,254,1843
16580,261,1550
41014,278,3469
1402,248,2885
29310,270,3664
