id,x,y
25810,267,3668
29294,270,3648
44923,289,2606
29137,270,3103
33163,273,4089
14745,259,1829
43762,284,2624
35396,275,1951
6012,251,3361
13568,258,1124
3594,250,986
26782,268,2705
8204,253,1861
45054,290,329
11905,256,2790
13542,258,817
40995,278,3439
30896,272,802
28603,270,829
9146,254,1133
16425,261,797
25232,267,1863
23194,265,4150
8328,253,2076
35771,275,3014
45075,290,350
32981,273,3630
14127,258,3634
2662,249,2493
3867,250,1355
10284,255,808
36348,275,3954
43576,283,3475
17557,262,346
10614,255,2033
2093,249,950
26891,268,3106
30703,271,4381
44652,288,800
7401,252,3447
15891,260,2882
14880,259,2771
7916,253,819
22570,265,2660
42473,279,4024
18460,262,4273
45453,292,331
26227,267,4439
28466,269,4530
12829,257,2076
