id,x,y
18029,262,2640
1533,248,3383
6224,251,3925
11210,255,4309
28318,269,4260
13364,257,4381
2111,249,968
14054,258,3269
4640,250,3967
35134,275,1326
9208,254,1195
21611,264,4265
32135,273,791
31846,272,3956
24099,266,2748
16833,261,2596
27213,268,4289
23450,266,792
7327,252,3322
40430,278,1889
34594,274,3964
14305,258,4370
44629,288,346
42681,280,807
6044,251,3393
43965,285,831
35585,275,2682
10656,255,2075
34269,274,3301
3399,250,791
35467,275,2022
32100,273,325
40850,278,3083
20878,264,2560
20282,264,788
23610,266,1520
24970,267,1117
12983,257,2913
40530,278,1989
36883,276,1245
22915,265,3871
35627,275,2870
23243,265,4305
8312,253,2060
31817,272,3927
28441,269,4444
9436,254,1886
23261,265,4364
14272,258,4337
32311,273,1374
