id,x,y
41810,279,1942
22116,265,1694
31491,272,2946
16176,260,4283
17243,261,3666
43670,284,791
5685,251,2029
31060,272,1388
15544,260,1148
62,247,861
41002,278,3446
18143,262,2754
21858,265,341
42354,279,3764
36908,276,1270
5786,251,2767
10305,255,829
23940,266,2037
36233,275,3743
19346,263,2590
14052,258,3267
28806,270,1701
40839,278,3072
1140,248,1594
37103,276,1742
11789,256,2072
9643,254,2882
10821,255,2903
16657,261,1668
18957,263,1674
38072,276,3804
16048,260,3492
34037,274,2711
26183,267,4384
32097,273,322
45442,292,320
7562,252,3950
8040,253,1335
34207,274,3098
8843,253,4080
38607,277,1216
43238,282,2595
21720,264,4426
22025,265,1522
28763,270,1537
22045,265,1542
29897,271,1531
16778,261,2541
18162,262,2869
42745,280,2597
