id,x,y
40351,278,1483
6653,252,1159
18850,263,1400
44714,288,2618
37889,276,3504
44674,288,822
21492,264,4035
4724,250,4051
1044,248,1237
17037,261,2896
5028,251,859
29393,270,3933
24950,267,821
39168,277,2908
19277,263,2521
19263,263,2507
22037,265,1534
42151,279,3348
43182,282,803
20306,264,812
10946,255,3310
33314,273,4417
22311,265,1990
12131,256,3641
35257,275,1711
24254,266,3276
21389,264,3932
5575,251,1919
4074,250,2014
41300,278,4023
794,248,861
2634,249,2465
26892,268,3107
9567,254,2509
36518,275,4124
43631,284,321
36206,275,3716
31130,272,1690
23383,265,4548
6287,251,3988
27459,269,805
6258,251,3959
31303,272,2085
31104,272,1523
5732,251,2462
24210,266,3232
37797,276,3412
26574,268,1678
27433,269,348
38829,277,1735
