id,x,y
37082,276,1721
40360,278,1492
16409,261,350
37022,276,1490
27945,269,2890
29836,271,1374
43547,283,2670
803,248,870
1143,248,1597
27231,268,4358
17009,261,2868
42109,279,3055
10926,255,3290
10122,254,4358
7843,253,315
38503,277,345
20842,264,2524
25933,267,3982
42618,280,313
39371,277,3313
35397,275,1952
2502,249,1932
38040,276,3772
11954,256,2915
26406,268,1122
883,248,950
33260,273,4282
22841,265,3495
43195,282,816
44627,288,344
11208,255,4307
11605,256,1575
6147,251,3496
12495,257,350
12959,257,2889
43598,283,3497
28323,269,4265
35368,275,1923
23802,266,1899
37991,276,3723
28279,269,4130
2438,249,1632
7653,252,4092
18394,262,3665
22499,265,2589
20969,264,2651
34793,274,4426
12949,257,2879
21658,264,4312
7788,252,4479
