id,x,y
36820,276,1182
32171,273,827
14005,258,3119
17550,262,339
12153,256,3663
42022,279,2968
2170,249,1027
29366,270,3906
29299,270,3653
26099,267,4148
40251,278,1247
36007,275,3406
29215,270,3287
29761,271,1148
16728,261,1855
5905,251,3113
38249,276,4072
2000,249,857
29126,270,3092
38815,277,1721
22836,265,3490
11807,256,2090
33829,274,1885
9353,254,1632
12465,257,320
44698,288,2602
7000,252,2000
20489,264,1654
22123,265,1701
28596,270,822
40352,278,1484
14940,259,3088
22322,265,2001
15304,259,4439
31641,272,3469
24557,266,4062
40481,278,1940
28690,270,1373
17453,261,4475
22454,265,2544
41282,278,4005
42266,279,3494
36096,275,3495
29083,270,2903
391,247,1956
8599,253,3322
23705,266,1706
37775,276,3390
21250,264,3491
33061,273,3710
