id,x,y
22825,265,3479
40126,278,340
11421,256,793
7181,252,2874
41354,278,4077
43998,285,2610
35638,275,2881
5934,251,3283
29630,270,4564
31745,272,3684
16171,260,4278
5965,251,3314
9319,254,1598
19137,263,1960
31348,272,2576
12211,256,3927
33425,274,330
38285,276,4108
10848,255,3101
34126,274,2946
1844,248,4474
36318,275,3924
20251,264,326
2513,249,1943
23440,266,351
31058,272,1386
30745,271,4423
1883,249,309
10937,255,3301
43869,284,3513
18801,263,1140
29166,270,3132
26402,268,1118
33072,273,3721
13953,258,2896
39254,277,3010
26525,268,1528
18668,262,4554
3789,250,1277
25619,267,2913
5596,251,1940
15968,260,3130
2276,249,1234
17980,262,2591
29930,271,1695
30078,271,2085
18136,262,2747
27108,268,3907
15048,259,3473
4678,250,4005
