id,x,y
37605,276,3054
40801,278,3034
5194,251,1025
42959,281,830
4722,250,4049
10114,254,4350
13067,257,3274
32211,273,1163
8233,253,1890
1390,248,2873
37456,276,2899
22395,265,2074
30759,271,4437
15976,260,3234
18766,263,834
8268,253,2016
201,247,1000
41424,278,4394
38338,276,4267
44297,286,2668
1940,249,797
38871,277,1893
38845,277,1751
36241,275,3751
21052,264,2734
14678,259,1631
8834,253,4071
33109,273,3924
42154,279,3351
38854,277,1876
6105,251,3454
43782,284,2645
22948,265,3904
36923,276,1285
3654,250,1046
14344,258,4470
38110,276,3933
45227,290,3505
17368,261,4349
42976,281,2578
10356,255,1171
16361,260,4541
43944,285,810
7503,252,3660
39420,277,3362
1908,249,334
19375,263,2619
7740,252,4340
36409,275,4015
6621,252,816
