id,x,y
13572,258,1128
7407,252,3453
5943,251,3292
112,247,911
4750,250,4077
38627,277,1236
3527,250,919
3647,250,1039
17992,262,2603
35508,275,2063
34802,274,4435
32953,273,3491
15914,260,2905
31866,272,4107
31893,272,4134
5267,251,1189
5769,251,2499
10476,255,1593
12090,256,3489
28087,269,3470
4670,250,3997
40068,277,4571
3979,250,1919
31008,272,1336
41505,278,4586
28766,270,1540
3420,250,812
38470,277,312
4473,250,3438
1564,248,3414
18367,262,3638
18331,262,3491
7898,253,801
33209,273,4135
21242,264,3483
20364,264,1141
24599,266,4104
37873,276,3488
44819,289,310
16502,261,1145
15359,259,4495
25843,267,3892
7270,252,3134
37400,276,2692
36333,275,3939
16103,260,3658
3390,250,351
34957,275,833
41590,279,818
32160,273,816
