id,x,y
4053,250,1993
32492,273,1888
24110,266,2870
6001,251,3350
28272,269,4123
36221,275,3731
4879,250,4493
28071,269,3278
33093,273,3908
36551,275,4258
24267,266,3475
7542,252,3930
26341,268,345
1174,248,1628
18644,262,4530
39531,277,3473
25082,267,1526
17142,261,3263
15396,259,4532
3168,249,4026
33,247,832
18192,262,2899
17948,262,2559
30376,271,3303
35925,275,3324
32992,273,3641
22204,265,1883
42762,280,2614
6740,252,1297
293,247,1254
22371,265,2050
44211,286,831
7118,252,2499
10705,255,2495
25546,267,2724
13967,258,2910
23607,266,1517
41003,278,3447
44894,289,816
25535,267,2713
38720,277,1329
39801,277,3966
40258,278,1254
7263,252,3127
19452,263,2696
40945,278,3389
34706,274,4248
22155,265,1834
23368,265,4533
4872,250,4486
