id,x,y
10337,255,1152
4672,250,3999
37970,276,3702
23019,265,3975
25712,267,3273
12512,257,798
25685,267,3246
16348,260,4528
28461,269,4525
17601,262,821
19585,263,3101
16499,261,1142
38016,276,3748
38777,277,1502
42396,279,3806
14886,259,2777
10299,255,823
39911,277,4076
32754,273,2949
28768,270,1542
38389,276,4419
13150,257,3644
37493,276,2942
20080,263,4311
23376,265,4541
38959,277,1981
23976,266,2073
4540,250,3505
9446,254,1896
36093,275,3492
25794,267,3652
14632,259,1554
39565,277,3507
9304,254,1583
36992,276,1354
32846,273,3273
6742,252,1299
6051,251,3400
21917,265,831
39539,277,3481
12205,256,3921
39282,277,3038
16743,261,2506
503,247,3365
8182,253,1839
22039,265,1536
11776,256,2059
6812,252,1369
24598,266,4103
25132,267,1667
