id,x,y
22341,265,2020
5443,251,1365
11808,256,2091
32903,273,3441
19271,263,2515
7370,252,3416
22954,265,3910
40857,278,3090
20289,264,795
8038,253,1333
21120,264,2908
27946,269,2891
45132,290,2604
31593,272,3290
36606,275,4404
14831,259,2531
6900,252,1849
38209,276,4032
26648,268,1848
1641,248,3638
15784,260,2498
17380,261,4361
38239,276,4062
17069,261,3099
588,247,3984
23731,266,1828
42923,281,794
8291,253,2039
17698,262,1400
39525,277,3467
24019,266,2527
702,248,328
33216,273,4238
12415,256,4499
17582,262,802
44362,287,315
2699,249,2801
28890,270,1876
25727,267,3474
10808,255,2890
2898,249,3383
8043,253,1338
3986,250,1926
43959,285,825
17541,262,330
23112,265,4068
37700,276,3315
32996,273,3645
28499,269,4563
40755,278,2988
