id,x,y
30523,271,3893
22314,265,1993
45264,291,333
15439,260,336
32382,273,1536
42036,279,2982
27495,269,1122
45468,292,346
1084,248,1277
29692,271,788
22532,265,2622
34152,274,2972
4538,250,3503
3393,250,354
31401,272,2720
10416,255,1372
10444,255,1561
38896,277,1918
2550,249,1980
18082,262,2693
8294,253,2042
45629,293,346
16526,261,1380
43831,284,3475
37765,276,3380
45120,290,826
4801,250,4314
36557,275,4264
2079,249,936
39561,277,3503
36733,276,338
1066,248,1259
13449,257,4527
12255,256,4132
36955,276,1317
2521,249,1951
33138,273,3953
37212,276,1957
36912,276,1274
25992,267,4041
17155,261,3276
24800,266,4458
29666,271,331
29472,270,4264
23876,266,1973
39735,277,3804
37219,276,1964
20081,263,4312
35834,275,3077
21835,265,318
