id,x,y
8504,253,3106
13770,258,1820
37721,276,3336
24711,266,4358
416,247,1981
23862,266,1959
32986,273,3635
21451,264,3994
28989,270,2567
31858,272,4099
20942,264,2624
29517,270,4380
11512,256,1170
31906,272,4243
31829,272,3939
19470,263,2714
16796,261,2559
9162,254,1149
2522,249,1952
19224,263,2047
4856,250,4470
24376,266,3881
1782,248,4065
34335,274,3438
3179,249,4037
39293,277,3049
4549,250,3514
20855,264,2537
1648,248,3645
32815,273,3116
26997,268,3494
26397,268,832
22580,265,2670
3258,249,4317
42576,279,4419
7271,252,3135
13598,258,1154
36260,275,3770
40981,278,3425
28618,270,1130
1832,248,4341
9993,254,4088
40124,278,338
1201,248,1916
25737,267,3484
24995,267,1142
13375,257,4453
13612,258,1359
5429,251,1351
42218,279,3415
