id,x,y
6057,251,3406
26146,267,4296
978,248,1045
26787,268,2710
5466,251,1599
526,247,3388
21601,264,4144
43963,285,829
7298,252,3293
15504,260,832
5143,251,974
34124,274,2944
61,247,860
31957,272,4375
42425,279,3976
17935,262,2546
9028,253,4507
25456,267,2087
37060,276,1699
36989,276,1351
10503,255,1620
11601,256,1571
41501,278,4582
31043,272,1371
9079,254,339
37399,276,2691
41201,278,3808
39885,277,4050
22367,265,2046
25181,267,1716
39975,277,4256
30996,272,1193
5904,251,3112
43892,285,327
11615,256,1585
5680,251,2024
22458,265,2548
45040,290,315
35895,275,3294
28487,269,4551
30645,271,4252
25577,267,2871
44135,286,324
1762,248,4045
22619,265,2709
18565,262,4430
27773,269,2045
45184,290,2656
16727,261,1854
19734,263,3643
