id,x,y
6738,252,1295
11634,256,1604
6154,251,3503
43639,284,329
45031,289,3515
29492,270,4284
16849,261,2612
40229,278,1225
31544,272,3120
21818,264,4555
38731,277,1340
6863,252,1616
27119,268,3918
17867,262,1842
37098,276,1737
41592,279,820
6207,251,3667
11766,256,2049
31196,272,1847
36963,276,1325
10473,255,1590
28368,269,4371
43943,285,809
23647,266,1557
32291,273,1354
15574,260,1379
43426,283,802
6126,251,3475
4876,250,4490
37753,276,3368
20880,264,2562
21498,264,4041
1406,248,2889
6049,251,3398
14642,259,1564
16851,261,2614
18469,262,4282
43260,282,2617
42415,279,3825
2271,249,1229
10320,255,1135
39715,277,3784
24484,266,3989
9504,254,2075
19992,263,4092
20016,263,4116
3455,250,847
15682,260,1644
2864,249,3349
17229,261,3652
