id,x,y
17215,261,3638
42277,279,3505
27504,269,1131
44360,287,313
31979,272,4397
40727,278,2960
719,248,345
35027,275,1219
32809,273,3110
38295,276,4118
27134,268,4114
23546,266,1159
16786,261,2549
6360,251,4061
2827,249,3312
41145,278,3752
38519,277,792
23360,265,4525
41380,278,4239
6594,252,789
38919,277,1941
24359,266,3678
20543,264,1814
673,247,4332
1055,248,1248
28798,270,1693
13089,257,3472
9488,254,2059
20483,264,1648
20137,263,4430
39653,277,3722
10363,255,1178
34536,274,3906
16941,261,2704
8105,253,1581
41775,279,1746
43094,281,3493
26033,267,4082
12854,257,2492
29080,270,2900
17533,262,322
19014,263,1837
35445,275,2000
9757,254,3283
20279,264,354
7755,252,4355
26204,267,4405
44911,289,833
22817,265,3471
9750,254,3276
