id,x,y
16422,261,794
40054,277,4557
29441,270,4142
34938,275,814
45384,291,2655
39454,277,3396
21655,264,4309
3663,250,1055
31875,272,4116
10805,255,2887
2450,249,1880
7253,252,3117
20390,264,1378
27446,269,792
33078,273,3893
11205,255,4304
26671,268,2052
42657,280,352
25251,267,1882
34947,275,823
31077,272,1496
23266,265,4369
44010,285,2622
17535,262,324
13313,257,4330
16068,260,3512
21486,264,4029
22257,265,1936
25544,267,2722
8244,253,1901
8976,253,4364
13989,258,3103
26886,268,3101
3816,250,1304
5497,251,1630
15210,259,4293
309,247,1270
41704,279,1303
22175,265,1854
13951,258,2894
27553,269,1361
13201,257,3901
7566,252,3954
38103,276,3926
26106,267,4155
45202,290,3480
19156,263,1979
40541,278,2000
38464,276,4595
34666,274,4107
