id,x,y
30743,271,4421
12191,256,3907
24666,266,4272
26887,268,3102
15412,260,309
6857,252,1610
5363,251,1285
7233,252,3097
35973,275,3372
42802,280,2685
6991,252,1991
29576,270,4439
32138,273,794
42199,279,3396
27170,268,4150
7291,252,3286
23967,266,2064
16860,261,2623
43152,282,342
21233,264,3474
43506,283,2618
36650,275,4539
14839,259,2730
1562,248,3412
31352,272,2580
16733,261,2496
37166,276,1911
5525,251,1869
1901,249,327
2031,249,888
42562,279,4405
5402,251,1324
22468,265,2558
28,247,827
255,247,1054
24734,266,4381
11660,256,1631
3077,249,3674
792,248,859
32797,273,3098
531,247,3393
12679,257,1583
32540,273,2047
27178,268,4254
43471,283,2583
42342,279,3752
19904,263,4004
954,248,1021
36958,276,1320
26736,268,2538
