id,x,y
339,247,1301
3464,250,856
34314,274,3346
32840,273,3267
36218,275,3728
7063,252,2063
29947,271,1712
2315,249,1273
36574,275,4281
29248,270,3491
45592,292,3503
37204,276,1949
43418,283,794
9563,254,2505
33364,273,4548
1759,248,4042
10969,255,3474
31182,272,1833
39211,277,2967
25224,267,1855
7620,252,4059
9011,253,4490
28169,269,3663
13448,257,4526
10682,255,2472
3509,250,901
25175,267,1710
17781,262,1645
2619,249,2450
41270,278,3993
16704,261,1831
25131,267,1666
17555,262,344
11423,256,795
6610,252,805
13214,257,3914
18517,262,4351
22524,265,2614
33032,273,3681
26382,268,817
12716,257,1631
9494,254,2065
29548,270,4411
31533,272,3109
4222,250,2814
27727,269,1828
18081,262,2692
15233,259,4316
23496,266,1109
41084,278,3655
