id,x,y
26235,267,4447
26699,268,2080
41998,279,2883
43117,281,3516
3765,250,1253
4974,251,805
38441,276,4572
10262,255,355
30891,272,797
712,248,338
27398,269,313
25128,267,1663
33520,274,1162
39569,277,3511
33213,273,4139
27612,269,1511
8581,253,3304
24578,266,4083
41695,279,1294
8340,253,2464
33365,273,4549
25192,267,1823
8596,253,3319
24782,266,4440
3346,249,4516
43640,284,330
29213,270,3285
2628,249,2459
33057,273,3706
36196,275,3706
1614,248,3490
16686,261,1813
6289,251,3990
3629,250,1021
30835,272,310
6906,252,1855
34920,275,796
23566,266,1380
23053,265,4009
20662,264,1933
6993,252,1993
7325,252,3320
25087,267,1531
11161,255,4129
4267,250,2910
27827,269,2525
4921,251,321
14531,259,1131
18421,262,3883
25969,267,4018
