id,x,y
2156,249,1013
31205,272,1856
6510,251,4488
4361,250,3326
31199,272,1850
29449,270,4150
29013,270,2702
18754,263,822
19911,263,4011
750,248,817
15577,260,1382
43477,283,2589
30156,271,2700
45025,289,3509
42940,281,811
32619,273,2582
15895,260,2886
42845,280,3494
3106,249,3964
390,247,1955
13940,258,2883
9889,254,3647
43657,284,347
29644,271,309
19657,263,3264
15325,259,4460
10424,255,1380
21677,264,4362
40985,278,3429
35549,275,2575
25650,267,3115
13022,257,3123
7855,253,327
44002,285,2614
35193,275,1486
11761,256,2044
40958,278,3402
6633,252,828
1433,248,3097
34982,275,1174
11265,255,4364
21691,264,4376
27868,269,2566
16610,261,1580
5439,251,1361
14225,258,4289
13507,258,351
43763,284,2625
10049,254,4144
42515,279,4066
