id,x,y
43993,285,2605
8357,253,2481
9855,254,3502
14564,259,1164
44967,289,2650
1081,248,1274
41468,278,4549
24953,267,824
42108,279,3054
41431,278,4401
40689,278,2886
41735,279,1495
45275,291,344
37520,276,2969
25624,267,3089
12204,256,3920
2698,249,2800
27040,268,3648
14355,258,4481
33083,273,3898
44595,288,312
15622,260,1553
12526,257,812
8439,253,2870
10134,254,4370
29685,271,350
16995,261,2758
31687,272,3515
4657,250,3984
23797,266,1894
15371,259,4507
32109,273,334
19993,263,4093
7319,252,3314
12317,256,4330
29960,271,1725
13931,258,2874
180,247,979
44590,287,3516
6441,251,4318
4270,250,2913
18857,263,1407
20385,264,1373
20437,264,1531
23171,265,4127
30300,271,3111
32052,272,4551
22625,265,2715
18569,262,4434
17371,261,4352
