id,x,y
20035,263,4135
11511,256,1169
44254,286,2625
45661,293,2620
32308,273,1371
31665,272,3493
13373,257,4451
220,247,1019
4644,250,3971
44760,288,2664
12081,256,3480
16049,260,3493
8313,253,2061
26817,268,2740
29363,270,3903
39896,277,4061
6935,252,1884
19902,263,4002
12120,256,3630
17437,261,4459
44694,288,2598
20163,263,4456
1355,248,2777
35645,275,2888
1426,248,2909
12376,256,4460
30852,272,327
41743,279,1503
24556,266,4061
38014,276,3746
43690,284,811
25276,267,1907
14378,258,4505
8636,253,3450
22850,265,3504
26029,267,4078
44344,286,3506
29057,270,2877
5581,251,1925
36539,275,4246
16872,261,2635
43374,283,319
11573,256,1392
8725,253,3650
26040,267,4089
26797,268,2720
15134,259,3670
34159,274,2979
30363,271,3290
25069,267,1513
