id,x,y
29207,270,3279
27936,269,2881
23029,265,3985
32691,273,2886
8966,253,4354
6240,251,3941
30437,271,3515
7973,253,1177
21573,264,4116
11320,255,4490
42796,280,2679
33194,273,4120
16045,260,3489
18155,262,2766
34917,275,793
41897,279,2570
3906,250,1620
27173,268,4153
34286,274,3318
8448,253,2879
3755,250,1243
2194,249,1051
32399,273,1704
19318,263,2562
2128,249,985
45077,290,352
8404,253,2769
9050,254,310
43605,283,3504
29312,270,3666
21208,264,3258
42281,279,3509
3268,249,4327
15152,259,3884
41702,279,1301
10179,254,4496
1739,248,4022
41919,279,2592
30761,271,4439
31080,272,1499
15738,260,1826
40748,278,2981
38274,276,4097
890,248,957
42966,281,2568
33242,273,4264
29989,271,1850
969,248,1036
18065,262,2676
21842,265,325
