id,x,y
23694,266,1695
26487,268,1394
7100,252,2481
21155,264,3114
17688,262,1390
18350,262,3510
28197,269,3691
25886,267,3935
19855,263,3955
950,248,1017
40149,278,794
5299,251,1221
44639,288,356
28588,270,814
23963,266,2060
31548,272,3124
26001,267,4050
9797,254,3444
37439,276,2882
34606,274,3976
32652,273,2706
43025,281,2653
40294,278,1290
40039,277,4431
14224,258,4288
32123,273,348
21013,264,2695
34469,274,3683
25829,267,3878
15530,260,1134
7689,252,4128
38391,276,4421
9955,254,3929
40967,278,3411
15084,259,3509
15214,259,4297
6469,251,4346
31649,272,3477
43122,282,312
28445,269,4448
41848,279,1980
6135,251,3484
8688,253,3502
20487,264,1652
704,248,330
20397,264,1385
33142,273,3957
24403,266,3908
24377,266,3882
30829,271,4578
