id,x,y
3514,250,906
45430,291,3512
21144,264,3103
18941,263,1658
13219,257,3919
25749,267,3496
29392,270,3932
5787,251,2768
19728,263,3637
29814,271,1352
35370,275,1925
32465,273,1861
20433,264,1527
42621,280,316
41507,278,4588
27705,269,1715
22477,265,2567
13744,258,1653
7633,252,4072
11534,256,1353
42454,279,4005
44257,286,2628
27481,269,827
21202,264,3252
40095,278,309
35955,275,3354
43617,283,3516
12099,256,3498
36357,275,3963
35697,275,2940
43425,283,801
9722,254,3132
29751,271,1138
9897,254,3655
18903,263,1559
32114,273,339
11137,255,4105
16268,260,4386
6689,252,1195
3523,250,915
28190,269,3684
18753,263,821
11878,256,2763
34158,274,2978
11922,256,2883
1342,248,2483
41353,278,4076
13505,258,349
14770,259,1854
25187,267,1818
