id,x,y
6982,252,1931
6318,251,4019
6715,252,1221
29084,270,2904
9925,254,3899
7432,252,3478
5000,251,831
24227,266,3249
19343,263,2587
5415,251,1337
22563,265,2653
26542,268,1545
18148,262,2759
23715,266,1812
18742,263,810
16874,261,2637
19275,263,2519
34891,275,336
36181,275,3691
19158,263,1981
44634,288,351
32602,273,2565
6866,252,1619
20503,264,1668
38114,276,3937
30192,271,2736
35731,275,2974
29032,270,2721
1158,248,1612
37151,276,1896
5957,251,3306
31228,272,1879
44647,288,795
3747,250,1235
34147,274,2967
28617,270,1129
23869,266,1966
21125,264,2913
8935,253,4323
22735,265,3107
27201,268,4277
35611,275,2708
44161,286,350
35382,275,1937
1479,248,3329
29322,270,3676
18355,262,3515
29373,270,3913
40016,277,4408
9926,254,3900
