id,x,y
44570,287,3496
14515,259,1115
27825,269,2523
40434,278,1893
3877,250,1591
9095,254,355
28273,269,4124
35533,275,2559
873,248,940
23408,266,319
24230,266,3252
11704,256,1826
42006,279,2891
20680,264,1951
29877,271,1511
27708,269,1718
20374,264,1151
17017,261,2876
3160,249,4018
10128,254,4364
27246,268,4373
27939,269,2884
26336,268,340
2431,249,1625
31310,272,2538
27322,268,4450
45500,292,819
32633,273,2687
30978,272,1175
1868,248,4498
18444,262,3906
35000,275,1192
36047,275,3446
42160,279,3357
40853,278,3086
25938,267,3987
13914,258,2776
903,248,970
25728,267,3475
22703,265,2904
39013,277,2035
25842,267,3891
14043,258,3258
7894,253,797
40428,278,1751
21578,264,4121
16065,260,3509
8529,253,3131
37885,276,3500
40442,278,1901
