id,x,y
12590,257,1162
15628,260,1559
27174,268,4154
43022,281,2650
20293,264,799
44864,289,355
119,247,918
12448,256,4532
23683,266,1684
17905,262,2516
30713,271,4391
29528,270,4391
23868,266,1965
14232,258,4296
32544,273,2051
23359,265,4524
2678,249,2780
39608,277,3661
25421,267,2052
12587,257,1159
35265,275,1719
9856,254,3503
5622,251,1966
14295,258,4360
26879,268,3094
3807,250,1295
37479,276,2928
183,247,982
35796,275,3039
3303,249,4473
30482,271,3671
28308,269,4250
24458,266,3963
44575,287,3501
45445,292,323
9093,254,353
29938,271,1703
32765,273,2960
21304,264,3656
23138,265,4094
37690,276,3305
38689,277,1298
32375,273,1529
27918,269,2737
6714,252,1220
38697,277,1306
6167,251,3516
11525,256,1344
10817,255,2899
25189,267,1820
