id,x,y
35342,275,1897
15037,259,3281
16916,261,2679
3234,249,4092
16524,261,1378
28695,270,1378
44800,288,3500
32778,273,3079
30588,271,4104
11169,255,4137
42148,279,3345
42161,279,3358
25278,267,1909
14781,259,1865
4125,250,2456
10440,255,1396
41962,279,2676
8237,253,1894
28238,269,3918
38768,277,1493
44731,288,2635
42276,279,3504
33974,274,2567
45215,290,3493
43140,282,330
41847,279,1979
37266,276,2011
25183,267,1814
22936,265,3892
23867,266,1964
34058,274,2878
1451,248,3115
23311,265,4435
8825,253,3971
2673,249,2775
30084,271,2091
17512,261,4545
31819,272,3929
3180,249,4038
36415,275,4021
33367,273,4551
1967,249,824
451,247,2789
13610,258,1166
33975,274,2568
28470,269,4534
26130,267,4280
35164,275,1356
19731,263,3640
32304,273,1367
