id,x,y
32333,273,1487
7906,253,809
32111,273,336
3724,250,1212
30021,271,1882
16922,261,2685
14619,259,1410
11234,255,4333
35934,275,3333
4310,250,3124
15355,259,4490
17766,262,1579
25684,267,3245
33440,274,345
1952,249,809
35138,275,1330
45145,290,2617
45119,290,825
8801,253,3947
9908,254,3666
29457,270,4249
36825,276,1187
22284,265,1963
7113,252,2494
18294,262,3263
19749,263,3658
3532,250,924
31683,272,3511
38860,277,1882
10593,255,1871
35558,275,2584
10237,255,330
8133,253,1609
20112,263,4374
29733,271,829
13445,257,4523
5660,251,2004
40574,278,2033
26592,268,1696
10398,255,1354
4254,250,2897
24231,266,3253
19701,263,3499
21829,265,312
4878,250,4492
45016,289,3500
23477,266,819
22777,265,3240
32242,273,1194
45272,291,341
