id,x,y
35556,275,2582
42898,281,338
39381,277,3323
32854,273,3281
21773,264,4510
10592,255,1870
26755,268,2557
13456,257,4534
11687,256,1658
30575,271,3945
2999,249,3485
40587,278,2567
44528,287,2663
28822,270,1717
2721,249,2874
23167,265,4123
44196,286,816
16479,261,1122
573,247,3648
3548,250,940
26816,268,2739
175,247,974
37158,276,1903
5202,251,1033
14438,259,331
5499,251,1632
15386,259,4522
40350,278,1482
27731,269,1832
24280,266,3488
28619,270,1131
31920,272,4257
28545,270,340
20713,264,1984
15351,259,4486
7069,252,2069
14868,259,2759
1283,248,1998
25367,267,1998
15811,260,2525
5811,251,2792
12112,256,3511
38554,277,827
34487,274,3701
18480,262,4293
18952,263,1669
44815,288,3515
18532,262,4366
23005,265,3961
20480,264,1574
