id,x,y
19380,263,2624
6623,252,818
8149,253,1625
12989,257,3090
37069,276,1708
965,248,1032
29130,270,3096
9299,254,1578
7777,252,4468
15598,260,1403
10401,255,1357
27802,269,2074
31931,272,4268
7928,253,831
40506,278,1965
42084,279,3030
480,247,3341
41272,278,3995
7799,252,4490
5556,251,1900
36738,276,343
25731,267,3478
8707,253,3632
42666,280,792
2428,249,1622
5877,251,2914
30721,271,4399
6104,251,3453
22046,265,1543
8806,253,3952
31062,272,1390
18932,263,1649
37989,276,3721
26981,268,3478
6636,252,831
1333,248,2474
35746,275,2989
31063,272,1391
15740,260,1828
32129,273,354
28421,269,4424
33347,273,4450
40597,278,2577
31302,272,2084
24854,266,4553
38248,276,4071
24904,267,344
11468,256,1126
33912,274,2039
14923,259,2900
