id,x,y
5542,251,1886
1697,248,3980
13254,257,4135
16731,261,2494
27658,269,1668
22567,265,2657
18369,262,3640
30972,272,1169
45391,291,3473
27124,268,3923
16022,260,3280
9347,254,1626
4744,250,4071
19759,263,3668
31259,272,2041
33188,273,4114
5472,251,1605
39175,277,2915
23551,266,1365
22476,265,2566
35863,275,3106
7859,253,331
14607,259,1398
44229,286,2600
35460,275,2015
17696,262,1398
25381,267,2012
3207,249,4065
3066,249,3663
13381,257,4459
26170,267,4371
456,247,2794
36526,275,4233
15012,259,3256
7405,252,3451
30270,271,2945
35282,275,1736
34409,274,3512
32449,273,1845
13725,258,1634
4065,250,2005
4738,250,4065
40458,278,1917
11557,256,1376
28040,269,3247
36765,276,801
16624,261,1635
34760,274,4393
12941,257,2871
25609,267,2903
