id,x,y
8823,253,3969
28662,270,1174
39212,277,2968
7294,252,3289
27057,268,3665
26026,267,4075
29633,270,4567
4633,250,3960
40241,278,1237
42592,279,4566
23824,266,1921
40944,278,3388
40866,278,3310
20473,264,1567
2764,249,3088
28927,270,2074
24501,266,4006
43705,284,826
31746,272,3685
7952,253,1156
39185,277,2941
15533,260,1137
27105,268,3904
16722,261,1849
35658,275,2901
4658,250,3985
16948,261,2711
28939,270,2086
35318,275,1873
34505,274,3719
9635,254,2874
10496,255,1613
7944,253,1148
6494,251,4472
26514,268,1517
32577,273,2540
3545,250,937
9377,254,1656
22968,265,3924
14758,259,1842
16543,261,1397
29295,270,3649
39840,277,4005
25483,267,2530
38742,277,1351
23982,266,2079
39099,277,2683
42988,281,2590
28723,270,1497
24962,267,833
