id,x,y
12188,256,3904
18252,262,3130
35220,275,1513
43696,284,817
16680,261,1691
6849,252,1602
43522,283,2645
5718,251,2062
3521,250,913
21118,264,2906
20348,264,1125
7544,252,3932
4494,250,3459
21737,264,4443
83,247,882
15563,260,1368
4818,250,4331
18885,263,1541
8332,253,2080
39032,277,2555
36336,275,3942
11888,256,2773
14662,259,1584
2373,249,1331
12928,257,2777
9433,254,1883
42113,279,3059
2278,249,1236
3001,249,3487
28165,269,3659
1425,248,2908
25016,267,1364
35976,275,3375
39830,277,3995
39321,277,3077
44145,286,334
8378,253,2502
11519,256,1177
24492,266,3997
18468,262,4281
37386,276,2678
660,247,4058
8358,253,2482
6452,251,4329
12866,257,2504
24420,266,3925
34705,274,4247
40173,278,818
31334,272,2562
16308,260,4477
