id,x,y
27914,269,2733
39162,277,2902
8382,253,2506
1,247,329
34237,274,3269
19461,263,2705
26858,268,2902
30283,271,3094
37026,276,1494
13778,258,1828
32393,273,1698
32413,273,1718
15859,260,2759
30362,271,3289
36810,276,1172
33669,274,1478
39194,277,2950
27556,269,1364
13905,258,2767
3995,250,1935
34563,274,3933
6655,252,1161
44922,289,2605
42519,279,4070
43497,283,2609
12427,256,4511
1572,248,3422
43958,285,824
16568,261,1538
1526,248,3376
920,248,987
29940,271,1705
25706,267,3267
6462,251,4339
40225,278,1221
17956,262,2567
42009,279,2894
43773,284,2636
39721,277,3790
37945,276,3671
39449,277,3391
44485,287,2620
42038,279,2984
34337,274,3440
28644,270,1156
3105,249,3963
41036,278,3491
38279,276,4102
52,247,851
37429,276,2872
