id,x,y
8585,253,3308
34791,274,4424
26353,268,788
6644,252,1150
8544,253,3267
20667,264,1938
18000,262,2611
24687,266,4293
14896,259,2873
8455,253,2886
2893,249,3378
31125,272,1685
43521,283,2644
16310,260,4479
21341,264,3884
19478,263,2722
33906,274,2033
32615,273,2578
32364,273,1518
15599,260,1404
7526,252,3914
16867,261,2630
44148,286,337
9016,253,4495
19973,263,4073
20673,264,1944
30028,271,2035
4095,250,2035
29820,271,1358
22501,265,2591
29697,271,793
32516,273,2023
7012,252,2012
24555,266,4060
28160,269,3654
5845,251,2882
34643,274,4084
4138,250,2469
26443,268,1159
835,248,902
22884,265,3649
4465,250,3430
18606,262,4471
18820,263,1370
40532,278,1991
33896,274,2023
18181,262,2888
26508,268,1511
40843,278,3076
784,248,851
