id,x,y
12067,256,3466
16470,261,1113
23913,266,2010
13679,258,1567
23618,266,1528
18757,263,825
36797,276,833
17697,262,1399
17223,261,3646
32116,273,341
20156,263,4449
13739,258,1648
15761,260,1849
41418,278,4388
35785,275,3028
9110,254,801
3362,250,323
32813,273,3114
34616,274,3986
19206,263,2029
38125,276,3948
3029,249,3515
23134,265,4090
43468,283,2580
40327,278,1323
24171,266,3102
42575,279,4418
33931,274,2058
43351,282,3505
17838,262,1813
18217,262,3095
30418,271,3496
29600,270,4534
36082,275,3481
33420,274,325
32432,273,1737
42439,279,3990
9480,254,2051
35075,275,1267
11257,255,4356
25994,267,4043
25800,267,3658
3259,249,4318
40994,278,3438
27510,269,1137
25323,267,1954
43355,282,3509
28251,269,3931
27557,269,1365
5729,251,2459
