id,x,y
5300,251,1222
23743,266,1840
39679,277,3748
25513,267,2560
15050,259,3475
37170,276,1915
38944,277,1966
14757,259,1841
28907,270,2054
696,248,322
9671,254,2910
23068,265,4024
38007,276,3739
31857,272,4098
32763,273,2958
17597,262,817
19829,263,3929
16762,261,2525
36683,275,4572
13997,258,3111
37086,276,1725
17409,261,4390
31789,272,3899
45250,291,319
33574,274,1216
37215,276,1960
26717,268,2519
20042,263,4273
22328,265,2007
23515,266,1128
38546,277,819
17609,262,829
41434,278,4404
26313,268,317
45564,292,3475
43039,281,2667
40321,278,1317
13699,258,1587
40946,278,3390
3222,249,4080
42578,279,4421
17397,261,4378
28022,269,3128
6950,252,1899
14024,258,3239
17201,261,3513
14141,258,3648
43021,281,2649
18713,263,350
28257,269,4108
