id,x,y
35450,275,2005
4587,250,3663
37115,276,1754
21412,264,3955
44666,288,814
6823,252,1576
27589,269,1397
21799,264,4536
33074,273,3723
13447,257,4525
10854,255,3107
12300,256,4313
40912,278,3356
20811,264,2082
27093,268,3892
32392,273,1697
39421,277,3363
29085,270,2905
30370,271,3297
35281,275,1735
29812,271,1350
27100,268,3899
26284,267,4547
40362,278,1494
34981,275,1173
37389,276,2681
6637,252,832
7297,252,3292
39054,277,2577
34255,274,3287
45251,291,320
14096,258,3492
17563,262,352
11236,255,4335
9779,254,3305
12474,257,329
23030,265,3986
10747,255,2758
32977,273,3515
41332,278,4055
17286,261,3900
18613,262,4478
117,247,916
33788,274,1844
40788,278,3021
20418,264,1406
25320,267,1951
32568,273,2075
4189,250,2781
15618,260,1549
